Step,Loss,LearningRate,Epoch,StepDuration_Seconds
3420,4.4853,3.12e-06,69,1.1237
3430,4.4834,3.09e-06,69,1.0339
3440,4.3686,3.07e-06,69,1.1091
3450,4.3719,3.05e-06,70,1.0983
3460,4.4754,3.02e-06,70,1.1146
3470,4.2214,3.00e-06,70,1.1045
3480,4.2255,2.97e-06,70,1.2128
3490,4.3269,2.95e-06,70,1.0581
3500,4.4007,2.93e-06,71,1.0635
3510,4.4774,2.90e-06,71,1.0588
3520,4.6501,2.88e-06,71,1.0622
3530,4.5556,2.85e-06,71,1.0581
3540,4.4011,2.83e-06,71,1.1495
3550,4.4203,2.81e-06,72,1.1610
3560,4.2710,2.79e-06,72,1.0615
3570,4.4167,2.76e-06,72,1.0484
3580,4.3744,2.74e-06,72,1.1136
3590,4.4643,2.72e-06,72,1.0624
3600,4.2900,2.69e-06,73,1.1216
3610,4.4902,2.67e-06,73,1.1001
3620,4.6405,2.65e-06,73,1.0142
3630,4.3925,2.63e-06,73,1.1674
3640,4.4673,2.61e-06,73,1.1798
3650,4.5089,2.58e-06,74,1.0594
3660,4.3435,2.56e-06,74,1.0706
3670,4.4356,2.54e-06,74,1.1043
3680,4.4022,2.52e-06,74,1.1067
3690,4.4133,2.50e-06,74,1.1229
3700,4.2810,2.47e-06,75,1.1905
3710,4.3990,2.45e-06,75,1.0812
3720,4.4684,2.43e-06,75,1.0501
3730,4.6098,2.41e-06,75,1.0210
3740,4.5344,2.39e-06,75,1.0535
3750,4.7119,2.37e-06,76,1.0883
3760,4.2723,2.35e-06,76,1.1797
3770,4.5167,2.33e-06,76,1.0641
3780,4.4118,2.31e-06,76,1.1012
3790,4.7112,2.29e-06,76,1.0892
3800,4.2600,2.27e-06,77,1.1494
3810,4.2538,2.25e-06,77,1.2163
3820,4.2883,2.23e-06,77,1.0635
3830,4.0582,2.21e-06,77,1.0655
3840,4.2964,2.19e-06,77,1.1422
3850,4.2600,2.17e-06,78,1.1241
3860,4.3949,2.15e-06,78,1.1823
3870,4.4222,2.13e-06,78,1.1192
3880,4.6510,2.11e-06,78,1.0720
3890,4.5107,2.09e-06,78,1.1195
3900,4.2802,2.07e-06,79,1.1454
3910,4.2306,2.05e-06,79,1.1310
3920,4.4378,2.04e-06,79,1.1154
3930,4.1646,2.02e-06,79,1.1433
3940,4.6360,2.00e-06,79,1.1485
3950,4.5368,1.98e-06,80,1.1591
3960,4.2882,1.96e-06,80,1.1224
3970,4.1003,1.95e-06,80,1.0816
3980,4.5591,1.93e-06,80,1.0973
3990,4.3375,1.91e-06,80,1.1503
4000,4.5391,1.89e-06,81,1.0492
4010,4.1130,1.88e-06,81,1.1084
4020,4.2610,1.86e-06,81,1.0703
4030,4.3504,1.84e-06,81,1.0914
4040,4.3554,1.83e-06,81,1.1539
4050,4.2796,1.81e-06,82,1.0996
4060,4.4393,1.79e-06,82,1.0923
4070,4.1846,1.78e-06,82,1.0220
4080,4.3221,1.76e-06,82,1.1273
4090,4.3604,1.74e-06,82,1.1223
4100,4.4183,1.73e-06,83,1.1982
4110,4.4467,1.71e-06,83,1.0746
4120,4.1701,1.70e-06,83,1.1010
4130,4.1075,1.68e-06,83,1.1025
4140,4.5282,1.67e-06,83,1.1689
4150,4.3852,1.65e-06,84,1.0852
4160,4.2220,1.64e-06,84,1.1040
4170,4.5658,1.62e-06,84,1.1204
4180,4.3494,1.61e-06,84,1.0993
4190,4.5078,1.59e-06,84,1.0677
4200,4.3400,1.58e-06,85,1.0997
4210,4.6379,1.56e-06,85,1.1437
4220,4.5910,1.55e-06,85,1.0387
4230,4.2893,1.54e-06,85,1.0966
4240,4.4713,1.52e-06,85,1.0550
4250,4.4214,1.51e-06,86,1.1498
4260,4.5288,1.50e-06,86,1.0138
4270,4.1778,1.48e-06,86,1.0621
4280,4.4244,1.47e-06,86,1.1089
4290,4.4792,1.46e-06,86,1.1683
4300,4.0557,1.45e-06,87,1.0867
4310,4.1410,1.43e-06,87,1.0622
4320,4.0116,1.42e-06,87,1.1841
4330,4.2761,1.41e-06,87,1.0176
4340,4.4232,1.40e-06,87,0.9801
4350,4.5399,1.39e-06,88,1.1120
4360,4.3248,1.37e-06,88,1.0649
4370,4.5570,1.36e-06,88,1.0389
4380,4.1047,1.35e-06,88,1.1254
4390,4.0553,1.34e-06,88,1.1022
4400,4.3016,1.33e-06,89,1.0618
4410,4.3666,1.32e-06,89,1.0260
4420,4.3032,1.31e-06,89,1.1336
4430,3.9971,1.30e-06,89,1.1225
4440,4.2929,1.29e-06,89,1.0850
4450,4.1098,1.28e-06,90,1.1823
4460,4.4050,1.27e-06,90,1.0365
4470,4.3587,1.26e-06,90,1.0137
4480,4.1618,1.25e-06,90,1.0554
4490,4.2249,1.24e-06,90,1.0877
4500,4.1422,1.23e-06,91,1.1022
4510,4.2909,1.22e-06,91,1.0779
4520,4.4427,1.21e-06,91,1.1076
4530,4.1508,1.20e-06,91,1.0274
4540,4.3734,1.19e-06,91,1.1622
4550,4.2175,1.19e-06,92,1.0859
4560,4.1773,1.18e-06,92,1.1459
4570,4.2793,1.17e-06,92,1.1071
4580,4.1393,1.16e-06,92,1.1128
4590,4.2108,1.15e-06,92,1.1185
4600,4.1134,1.15e-06,93,1.1124
4610,4.5870,1.14e-06,93,1.1221
4620,4.2968,1.13e-06,93,1.1565
4630,4.1858,1.13e-06,93,1.0998
4640,4.3221,1.12e-06,93,1.1255
4650,4.2724,1.11e-06,94,1.0855
4660,4.2554,1.11e-06,94,1.1620
4670,4.3799,1.10e-06,94,1.0562
4680,4.4007,1.09e-06,94,1.1800
4690,4.2067,1.09e-06,94,1.0880
4700,4.1992,1.08e-06,95,1.0185
4710,4.2436,1.08e-06,95,1.0964
4720,3.9389,1.07e-06,95,1.0559
4730,4.0562,1.07e-06,95,1.1320
4740,4.4878,1.06e-06,95,1.0574
4750,4.5289,1.06e-06,96,1.0677
4760,4.2441,1.05e-06,96,0.9955
4770,4.3672,1.05e-06,96,1.0674
4780,4.3268,1.04e-06,96,0.9688
4790,4.7412,1.04e-06,96,1.0108
4800,4.4467,1.04e-06,97,1.1280
4810,4.2589,1.03e-06,97,1.1293
4820,4.1341,1.03e-06,97,1.1113
4830,4.0358,1.03e-06,97,1.0417
4840,4.3067,1.02e-06,97,1.0876
4850,4.1621,1.02e-06,98,1.0898
4860,4.0616,1.02e-06,98,1.0321
4870,4.1773,1.02e-06,98,1.1652
4880,4.1114,1.01e-06,98,1.1339
4890,4.5261,1.01e-06,98,1.0790
4900,4.4047,1.01e-06,99,1.0913
4910,4.2707,1.01e-06,99,1.1004
4920,4.4933,1.01e-06,99,0.9879
4930,4.2823,1.00e-06,99,1.0776
4940,4.1409,1.00e-06,99,1.0559
4950,4.4980,1.00e-06,100,1.0399
4960,4.3498,1.00e-06,100,1.0759
4970,4.1128,1.00e-06,100,1.1799
4980,4.2392,1.00e-06,100,1.1220
4990,4.1359,1.00e-06,100,1.0614
5000,4.0592,1.00e-06,101,1.1186
